Species,ID_pine,ID_spruce,GO,ID_arabidopsis,Gene name,Gene description,Expression,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Scots pine ,PITA_000058416,MA_10428327g0010,GO:0003676,AT3G13440.1,,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,SHADE>SUN,159.9943924,-0.322259426,0.751235014,-0.428972851,0.667942982,0.9186562
Scots pine ,PITA_000068658,MA_10428327g0010,GO:0003676,AT3G13440.1,,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,SHADE>SUN,49.99474139,-0.458997228,0.572979995,-0.801070251,0.423090978,0.787292474
Norway spruce,,MA_10428389g0010,GO:0000166,AT5G01920.1,STN8,Protein kinase superfamily protein,SHADE<SUN,352.3807443,0.7424892,0.137361223,5.405377028,6.47E-08,5.49E-06
Scots pine ,PITA_000011038,MA_10428389g0010,GO:0000166,AT5G01920.1,STN8,Protein kinase superfamily protein,SHADE<SUN,150.8733821,0.380417334,0.243061227,1.565109085,0.117557334,0.432848691
Norway spruce,,MA_10428395g0010,GO:0009505,AT4G24340.1,,Phosphorylase superfamily protein,SHADE>SUN,19.15054933,-2.037948493,0.477254786,-4.270147838,1.95E-05,0.00079798
Scots pine ,PITA_000062772,MA_10428395g0010,GO:0009505,AT4G24340.1,,Phosphorylase superfamily protein,SHADE<SUN,75.72703532,0.017204108,0.434381912,0.039605949,0.968407284,0.995403802
Scots pine ,PITA_000052585,MA_10428395g0010,GO:0009505,AT4G24340.1,,Phosphorylase superfamily protein,SHADE<SUN,78.69843148,0.546500746,0.525953869,1.03906593,0.298774075,0.710515108
Scots pine ,PITA_000048579,MA_10428395g0010,GO:0009505,AT4G24340.1,,Phosphorylase superfamily protein,SHADE<SUN,120.1418863,0.636992601,0.857002151,0.743280049,0.457312148,0.814153658
Scots pine ,PITA_000082188,MA_10428395g0010,GO:0009505,AT4G24340.1,,Phosphorylase superfamily protein,SHADE<SUN,29.16377471,0.691563,0.749456651,0.922752503,0.356136198,0.73189965
Scots pine ,PITA_000034951,MA_10428395g0010,GO:0009505,AT4G24340.1,,Phosphorylase superfamily protein,SHADE<SUN,63.93035105,0.778680491,0.264278131,2.946443162,0.003214515,0.032367334
Scots pine ,PITA_000022598,MA_10428395g0010,GO:0009505,AT4G24340.1,,Phosphorylase superfamily protein,SHADE>SUN,19.72568157,-0.480348459,0.473364967,-1.014752871,0.310223644,0.72491389
Scots pine ,PITA_000036009,MA_10428395g0010,GO:0009505,AT4G24340.1,,Phosphorylase superfamily protein,SHADE>SUN,69.0168967,-0.649361928,0.566581739,-1.146104582,0.251751882,0.656585453
Scots pine ,PITA_000095624,MA_10428395g0010,GO:0009505,AT4G24340.1,,Phosphorylase superfamily protein,SHADE>SUN,25.85231828,-0.794121992,0.363816573,-2.182753757,0.029053949,0.173708251
Norway spruce,,MA_10428846g0020,GO:0000287,AT5G55250.1,IAMT1,IAA carboxylmethyltransferase 1,SHADE>SUN,51.98839358,-4.196840017,0.717187506,-5.851803021,4.86E-09,5.37E-07
Scots pine ,PITA_000070580,MA_10428846g0020,GO:0000287,AT5G55250.1,IAMT1,IAA carboxylmethyltransferase 1,SHADE>SUN,18.36819639,-0.13466102,0.842700477,-0.159797014,0.873040976,0.977625025
Scots pine ,PITA_000075157,MA_10428851g0010,,AT5G18980.1,,ARM repeat superfamily protein,SHADE<SUN,627.7585931,0.610853692,0.650888037,0.938492732,0.34799125,0.730295799
Scots pine ,PITA_000028366,MA_10428851g0010,,AT5G18980.1,,ARM repeat superfamily protein,SHADE>SUN,29.76747081,-0.406927919,0.66988487,-0.607459487,0.543546021,0.867726565
Norway spruce,,MA_10428927g0010,GO:0008152,AT5G05390.1,LAC12,laccase 12,SHADE<SUN,50.41442174,4.639703102,0.700079767,6.627392082,3.42E-11,5.78E-09
Scots pine ,PITA_000067380,MA_10428927g0020,GO:0005507,AT5G05390.1,LAC12,laccase 12,SHADE<SUN,131.689777,0.102576526,0.510048502,0.201111318,0.840611532,0.968340999
Scots pine ,PITA_000031859,MA_10428927g0020,GO:0005507,AT5G05390.1,LAC12,laccase 12,SHADE<SUN,254.3048905,0.886748758,0.653584365,1.356747203,0.174861549,0.544042591
Scots pine ,PITA_000009730,MA_10428927g0020,GO:0005507,AT5G05390.1,LAC12,laccase 12,SHADE>SUN,993.6624363,-0.23839085,0.342765028,-0.695493502,0.486746082,0.831451113
Scots pine ,PITA_000053786,MA_10428927g0020,GO:0005507,AT5G05390.1,LAC12,laccase 12,SHADE>SUN,173.4484101,-0.57641388,0.433054028,-1.331043802,0.183174599,0.558499241
Norway spruce,,MA_10429002g0010,,AT4G05100.1,AtMYB74,,,,,,,,
Scots pine ,PITA_000014989,MA_10429002g0010,,AT4G05100.1,AtMYB74,,,,,,,,
Norway spruce,,MA_10429029g0010,GO:0005886,AT5G53550.2,ATYSL3,,,,,,,,
Scots pine ,PITA_000047416,MA_10429029g0010,GO:0005886,AT5G53550.2,ATYSL3,,,,,,,,
Norway spruce,,MA_10429049g0010,GO:0016746,AT2G38110.1,ATGPAT6,,,,,,,,
Scots pine ,PITA_000056432,MA_10429049g0010,GO:0016746,AT2G38110.1,ATGPAT6,,,,,,,,
Scots pine ,PITA_000069506,MA_10429049g0010,GO:0016746,AT2G38110.1,ATGPAT6,,,,,,,,
Norway spruce,,MA_10429164g0010,GO:0005524,AT5G09810.1,ACT7,actin 7,SHADE>SUN,21.58255542,-1.495676716,0.399281733,-3.745918213,0.000179735,0.004996637
Scots pine ,PITA_000020812,MA_10429164g0010,GO:0005524,AT5G09810.1,ACT7,actin 7,SHADE<SUN,82.86300899,0.0373655,0.177631703,0.210353777,0.833391566,0.966378878
Scots pine ,PITA_000057846,MA_10429164g0010,GO:0005524,AT5G09810.1,ACT7,actin 7,SHADE>SUN,18.65448566,-0.325855056,0.807029946,-0.403770712,0.686381335,0.925323636
Norway spruce,,MA_10429460g0010,GO:0009011,AT1G32900.1,,UDP-Glycosyltransferase superfamily protein,SHADE<SUN,327.1555746,1.663060438,0.177663545,9.360729793,7.92E-21,5.29E-18
Scots pine ,PITA_000001163,MA_10429460g0010,GO:0009011,AT1G32900.1,,UDP-Glycosyltransferase superfamily protein,SHADE<SUN,118.9590223,0.415642553,0.219430744,1.894185592,0.05820038,0.281004542
Norway spruce,,MA_10429518g0010,GO:0006662,AT4G37200.1,HCF164,Thioredoxin superfamily protein,SHADE<SUN,677.7285675,1.095394393,0.230166554,4.759138008,1.94E-06,0.000113109
Scots pine ,PITA_000036968,MA_10429518g0010,GO:0006662,AT4G37200.1,HCF164,Thioredoxin superfamily protein,SHADE<SUN,94.61588651,0.259581085,0.203649454,1.274646601,0.202434355,0.588915749
Norway spruce,,MA_10429703g0020,,AT2G21100.1,,Disease resistance-responsive (dirigent-like protein) family protein,SHADE<SUN,950.732717,1.725388789,0.447293754,3.85739522,0.000114602,0.003480231
Scots pine ,PITA_000007450,MA_10429703g0020,,AT2G21100.1,,Disease resistance-responsive (dirigent-like protein) family protein,SHADE<SUN,487.753448,0.222592741,0.203919045,1.091574067,0.27502036,0.683853507
Scots pine ,PITA_000013519,MA_10429703g0020,,AT2G21100.1,,Disease resistance-responsive (dirigent-like protein) family protein,SHADE<SUN,0.878867188,0.532567832,0.623458654,0.854215157,0.392985786,0.762720641
Norway spruce,,MA_10429708g0010,GO:0000038,AT2G26250.1,FDH,,,,,,,,
Scots pine ,PITA_000001908,MA_10429708g0010,GO:0000038,AT2G26250.1,FDH,,,,,,,,
Scots pine ,PITA_000071707,MA_10429708g0010,GO:0000038,AT2G26250.1,FDH,,,,,,,,
Scots pine ,PITA_000054992,MA_10429708g0010,GO:0000038,AT2G26250.1,FDH,,,,,,,,
Norway spruce,,MA_10429760g0010,GO:0006261,AT3G27640.1,,Transducin/WD40 repeat-like superfamily protein,SHADE>SUN,48.76538004,-5.763824397,0.622618223,-9.257397532,2.09E-20,1.26E-17
Scots pine ,PITA_000036010,MA_10429760g0020,,AT3G27640.1,,Transducin/WD40 repeat-like superfamily protein,SHADE>SUN,272.6169977,-0.331534573,0.394175849,-0.841082919,0.400301484,0.768824
Norway spruce,,MA_10429805g0030,GO:0001510,AT5G39850.1,,Ribosomal protein S4,SHADE<SUN,133.3932263,0.696455478,0.19955161,3.490102031,0.000482836,0.01096709
Scots pine ,PITA_000057722,MA_10429805g0030,GO:0001510,AT5G39850.1,,Ribosomal protein S4,SHADE>SUN,98.09618316,-0.15517439,0.265504154,-0.584451836,0.558916361,0.874552659
Scots pine ,PITA_000091630,MA_10429810g0020,GO:0000041,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Norway spruce,,MA_10429870g0020,,AT4G15093.1,,catalytic LigB subunit of aromatic ring-opening dioxygenase family,SHADE>SUN,99.87780341,-1.389858808,0.25421583,-5.467239431,4.57E-08,4.03E-06
Scots pine ,PITA_000062048,MA_10429870g0020,,AT4G15093.1,,catalytic LigB subunit of aromatic ring-opening dioxygenase family,SHADE<SUN,57.480367,1.820444363,0.7212531,2.524002136,0.011602722,0.087819655
Norway spruce,,MA_10430145g0020,,AT4G13710.1,,Pectin lyase-like superfamily protein,SHADE<SUN,10775.53712,2.003369371,0.40431471,4.954975231,7.23E-07,4.71E-05
Scots pine ,PITA_000007412,MA_10430145g0020,,AT4G13710.1,,Pectin lyase-like superfamily protein,SHADE<SUN,152.8599714,0.203360764,0.247477936,0.821732909,0.411228925,0.776167384
Scots pine ,PITA_000066688,MA_10430145g0020,,AT4G13710.1,,Pectin lyase-like superfamily protein,SHADE<SUN,68.5851668,0.249671792,0.370711105,0.673494235,0.500632915,0.83996625
Scots pine ,PITA_000052400,MA_10430145g0020,,AT4G13710.1,,Pectin lyase-like superfamily protein,SHADE<SUN,107.4576341,0.403138093,0.855911457,0.471004436,0.637637567,0.907106397
Scots pine ,PITA_000004161,MA_10430145g0020,,AT4G13710.1,,Pectin lyase-like superfamily protein,SHADE<SUN,494.1398513,0.501837719,0.650003764,0.772053559,0.440082707,0.799786342
Scots pine ,PITA_000004160,MA_10430145g0020,,AT4G13710.1,,Pectin lyase-like superfamily protein,SHADE<SUN,85.15796959,0.832825489,0.856489297,0.972371158,0.330865935,0.730295799
Scots pine ,PITA_000068615,MA_10430145g0020,,AT4G13710.1,,Pectin lyase-like superfamily protein,SHADE>SUN,79.53822922,-0.121946496,0.727837507,-0.16754632,0.866940205,0.97609124
Scots pine ,PITA_000075076,MA_10430145g0020,,AT4G13710.1,,Pectin lyase-like superfamily protein,SHADE>SUN,239.968609,-0.309084667,0.65083448,-0.474905181,0.634854558,0.906412076
Scots pine ,PITA_000041887,MA_10430145g0020,,AT4G13710.1,,Pectin lyase-like superfamily protein,SHADE>SUN,29.2752353,-0.381068224,0.668903199,-0.569691137,0.568887202,0.878887001
Norway spruce,,MA_10430383g0010,GO:0005507,AT1G23010.1,LPR1,Cupredoxin superfamily protein,SHADE<SUN,432.5372192,1.184002566,0.163093405,7.259659367,3.88E-13,9.03E-11
Scots pine ,PITA_000056243,MA_10430383g0010,GO:0005507,AT1G23010.1,LPR1,Cupredoxin superfamily protein,SHADE<SUN,125.6931548,0.276928924,0.256617205,1.079151818,0.280520055,0.690712246
Scots pine ,PITA_000046567,MA_10430383g0010,GO:0005507,AT1G23010.1,LPR1,Cupredoxin superfamily protein,SHADE<SUN,513.7325742,0.650759014,0.349456013,1.8622058,0.062574087,0.294090273
Scots pine ,PITA_000000206,MA_10430383g0010,GO:0005507,AT1G23010.1,LPR1,Cupredoxin superfamily protein,SHADE<SUN,518.3535279,1.018292935,0.528330383,1.927379094,0.053932403,0.267147832
Norway spruce,,MA_10430424g0010,,AT3G54420.1,ATCHITIV,,,,,,,,
Scots pine ,PITA_000074134,MA_10430424g0010,,AT3G54420.1,ATCHITIV,,,,,,,,
Norway spruce,,MA_10430508g0010,GO:0008152,AT3G11180.1,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,SHADE<SUN,668.6488122,1.156535345,0.206029594,5.613442828,1.98E-08,1.92E-06
Scots pine ,PITA_000056390,MA_10430508g0010,GO:0008152,AT3G11180.1,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,SHADE<SUN,151.5954232,0.208577313,0.537815997,0.387822812,0.698147163,0.929308092
Scots pine ,PITA_000064233,MA_10430508g0010,GO:0008152,AT3G11180.1,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,SHADE>SUN,14.11664445,-0.075710039,0.673047849,-0.112488345,0.91043621,0.985865856
Norway spruce,,MA_10430569g0010,GO:0004748,AT3G27060.1,ATTSO2,,,,,,,,
Scots pine ,PITA_000026144,MA_10430569g0010,GO:0004748,AT3G27060.1,ATTSO2,,,,,,,,
Scots pine ,PITA_000031150,MA_10430569g0010,GO:0004748,AT3G27060.1,ATTSO2,,,,,,,,
Norway spruce,,MA_10430744g0030,,AT1G64340.1,,unknown,SHADE>SUN,43.71637671,-1.308327638,0.384234314,-3.405025499,0.000661579,0.014082176
Scots pine ,PITA_000071826,MA_10430744g0030,,AT1G64340.1,,unknown,SHADE<SUN,120.7539655,0.917904606,0.521271103,1.760896777,0.078255875,0.338347088
Norway spruce,,MA_10430750g0010,,AT3G19430.1,,late embryogenesis abundant protein-related / LEA protein-related,SHADE>SUN,119.8973499,-1.708914471,0.321937485,-5.308218371,1.11E-07,8.84E-06
Scots pine ,PITA_000063842,MA_10430750g0010,,AT3G19430.1,,late embryogenesis abundant protein-related / LEA protein-related,SHADE<SUN,210.8222548,0.216695109,0.24207778,0.895146632,0.370708709,0.74510576
Scots pine ,PITA_000005053,MA_10430750g0010,,AT3G19430.1,,late embryogenesis abundant protein-related / LEA protein-related,SHADE<SUN,193.0340397,0.504292488,0.671122927,0.751415974,0.452402352,0.81068948
Scots pine ,PITA_000057208,MA_10430750g0010,,AT3G19430.1,,late embryogenesis abundant protein-related / LEA protein-related,SHADE>SUN,221.0298571,-0.084356619,0.394309956,-0.213934793,0.830597907,0.965908155
Scots pine ,PITA_000075583,MA_10430750g0010,,AT3G19430.1,,late embryogenesis abundant protein-related / LEA protein-related,SHADE>SUN,228.6099234,-0.104353634,0.811185547,-0.128643359,0.897639856,0.983400701
Scots pine ,PITA_000092120,MA_10430933g0010,GO:0004674,AT5G62740.1,ATHIR1,,,,,,,,
Scots pine ,PITA_000013186,MA_10430933g0010,GO:0004674,AT5G62740.1,ATHIR1,,,,,,,,
Scots pine ,PITA_000013185,MA_10430933g0010,GO:0004674,AT5G62740.1,ATHIR1,,,,,,,,
Scots pine ,PITA_000093872,MA_10430933g0010,GO:0004674,AT5G62740.1,ATHIR1,,,,,,,,
Scots pine ,PITA_000041584,MA_10430933g0010,GO:0004674,AT5G62740.1,ATHIR1,,,,,,,,
Norway spruce,,MA_10430946g0010,GO:0000166,AT5G24080.1,,Protein kinase superfamily protein,SHADE>SUN,36.78453562,-1.78244225,0.440793199,-4.04371541,5.26E-05,0.00182211
Scots pine ,PITA_000044528,MA_10430946g0010,GO:0000166,AT5G24080.1,,Protein kinase superfamily protein,SHADE<SUN,89.25072542,0.213780011,0.707224678,0.302280191,0.762438478,0.946981039
Scots pine ,PITA_000057028,MA_10430946g0010,GO:0000166,AT5G24080.1,,Protein kinase superfamily protein,SHADE>SUN,71.8220162,-0.236021349,0.542100091,-0.435383341,0.6632842,0.916442236
Scots pine ,PITA_000045902,MA_10430946g0010,GO:0000166,AT5G24080.1,,Protein kinase superfamily protein,SHADE>SUN,33.94219192,-0.825154086,0.842501665,-0.979409442,0.327377713,0.730295799
Norway spruce,,MA_10431010g0010,,AT3G24760.1,,Galactose oxidase/kelch repeat superfamily protein,SHADE>SUN,35.01451788,-1.973446736,0.407466906,-4.843207406,1.28E-06,7.83E-05
Scots pine ,PITA_000035233,MA_10431010g0010,,AT3G24760.1,,Galactose oxidase/kelch repeat superfamily protein,SHADE<SUN,26.93503433,0.41616908,0.682616789,0.609667221,0.542082273,0.866564736
Norway spruce,,MA_10431130g0010,GO:0009686,AT1G17010.1,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,SHADE<SUN,167.1798225,1.339380375,0.343967731,3.893912872,9.86E-05,0.003076709
Scots pine ,PITA_000088603,MA_10431130g0010,GO:0009686,AT1G17010.1,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,SHADE<SUN,242.6249583,1.061958944,0.389622031,2.72561318,0.006418217,0.0556862
Norway spruce,,MA_10431297g0020,GO:0005829,AT1G76140.2,,Prolyl oligopeptidase family protein,SHADE<SUN,210.5579384,1.067286667,0.295671843,3.609700051,0.000306551,0.007599023
Scots pine ,PITA_000029797,MA_10431297g0020,GO:0005829,AT1G76140.2,,Prolyl oligopeptidase family protein,SHADE<SUN,74.79742912,0.038332955,0.179455722,0.21360676,0.830853727,0.965908155
Scots pine ,PITA_000088384,MA_10431297g0020,GO:0005829,AT1G76140.2,,Prolyl oligopeptidase family protein,SHADE<SUN,95.8846324,0.212158707,0.799082855,0.265502765,0.79062218,0.95492215
Scots pine ,PITA_000001678,MA_10431297g0020,GO:0005829,AT1G76140.2,,Prolyl oligopeptidase family protein,SHADE<SUN,112.8023902,0.35722013,0.188401282,1.896059974,0.057952114,0.280062489
Scots pine ,PITA_000088383,MA_10431297g0020,GO:0005829,AT1G76140.2,,Prolyl oligopeptidase family protein,SHADE<SUN,66.28454846,0.66640233,0.801968515,0.83095822,0.405997232,0.772453141
Norway spruce,,MA_10431623g0010,,AT1G26761.1,,Arabinanase/levansucrase/invertase,SHADE>SUN,128.7892695,-0.868647475,0.247076408,-3.51570383,0.00043859,0.010160077
Scots pine ,PITA_000007763,MA_10431623g0010,,AT1G26761.1,,Arabinanase/levansucrase/invertase,SHADE<SUN,145.6654188,0.383931409,0.162250451,2.366288707,0.017967427,0.122200151
Norway spruce,,MA_10431645g0020,GO:0005515,AT1G80920.1,J8,Chaperone DnaJ-domain superfamily protein,SHADE>SUN,42.61197276,-1.699253796,0.308270721,-5.512212739,3.54E-08,3.24E-06
Scots pine ,PITA_000082554,MA_10431645g0020,GO:0005515,AT1G80920.1,J8,Chaperone DnaJ-domain superfamily protein,SHADE<SUN,301.9798889,0.056578663,0.650859555,0.086929142,0.930727835,0.987893061
Scots pine ,PITA_000016305,MA_10431645g0020,GO:0005515,AT1G80920.1,J8,Chaperone DnaJ-domain superfamily protein,SHADE<SUN,397.5355347,0.799964248,0.252094034,3.17327719,0.001507285,0.017357164
Scots pine ,PITA_000049878,MA_10431645g0020,GO:0005515,AT1G80920.1,J8,Chaperone DnaJ-domain superfamily protein,SHADE>SUN,52.79843026,-0.084856058,0.650525888,-0.130442246,0.896216545,0.983192983
Norway spruce,,MA_10431686g0010,GO:0004518,AT1G18090.1,,5'-3' exonuclease family protein,SHADE<SUN,144.5742011,0.915624478,0.253494731,3.612005959,0.000303838,0.007540779
Scots pine ,PITA_000031454,MA_10431686g0010,GO:0004518,AT1G18090.1,,5'-3' exonuclease family protein,SHADE<SUN,175.4019935,0.49273792,0.543156258,0.90717526,0.364314124,0.738273541
Norway spruce,,MA_10431727g0010,,AT1G14520.1,MIOX1,myo-inositol oxygenase 1,SHADE>SUN,30.09068529,-1.265588233,0.347556245,-3.641391144,0.000271169,0.006907966
Scots pine ,PITA_000030236,MA_10431727g0010,,AT1G14520.1,MIOX1,myo-inositol oxygenase 1,SHADE>SUN,22.66181835,-0.199373199,0.577790476,-0.345061415,0.7300482,0.937538988
Scots pine ,PITA_000081687,MA_10431727g0010,,AT1G14520.1,MIOX1,myo-inositol oxygenase 1,SHADE>SUN,23.84799663,-0.307639603,0.470106716,-0.654403762,0.512851711,0.848832079
Scots pine ,PITA_000001144,MA_10431727g0010,,AT1G14520.1,MIOX1,myo-inositol oxygenase 1,SHADE>SUN,24.33335342,-0.537233928,0.471656256,-1.139037003,0.254687721,0.660251941
Scots pine ,PITA_000079192,MA_10431727g0010,,AT1G14520.1,MIOX1,myo-inositol oxygenase 1,SHADE>SUN,39.61843343,-0.724867022,0.85643012,-0.846381981,0.397339687,0.765958748
Scots pine ,PITA_000036190,MA_10431727g0010,,AT1G14520.1,MIOX1,myo-inositol oxygenase 1,SHADE>SUN,20.83932114,-0.75697513,0.450113052,-1.681744457,0.092618403,0.377124937
Norway spruce,,MA_10431917g0020,,AT5G14780.1,FDH,formate dehydrogenase,SHADE>SUN,89.55296582,-0.851755874,0.216050178,-3.942398386,8.07E-05,0.002590347
Scots pine ,PITA_000032611,MA_10431917g0020,,AT5G14780.1,FDH,formate dehydrogenase,SHADE>SUN,54.52640363,-0.516127859,0.38812958,-1.329782333,0.183589998,0.559378679
Norway spruce,,MA_10432052g0010,GO:0004674,AT2G14740.2,ATVSR3,,,,,,,,
Scots pine ,PITA_000060992,MA_10432052g0010,GO:0004674,AT2G14740.2,ATVSR3,,,,,,,,
Norway spruce,,MA_10432180g0010,GO:0016491,AT5G07990.1,CYP75B1,,,,,,,,
Scots pine ,PITA_000022455,MA_10432180g0010,GO:0016491,AT5G07990.1,CYP75B1,,,,,,,,
Norway spruce,,MA_10432494g0010,GO:0000023,AT1G68020.2,ATTPS6,,,,,,,,
Scots pine ,PITA_000003349,MA_10432494g0010,GO:0000023,AT1G68020.2,ATTPS6,,,,,,,,
Scots pine ,PITA_000003127,MA_10432494g0010,GO:0000023,AT1G68020.2,ATTPS6,,,,,,,,
Norway spruce,,MA_10432802g0010,GO:0009416,AT4G14690.1,ELIP2,Chlorophyll A-B binding family protein,SHADE<SUN,541.6129673,1.391957729,0.383696174,3.627760248,0.000285891,0.007181418
Scots pine ,PITA_000006546,MA_10432802g0010,GO:0009416,AT4G14690.1,ELIP2,Chlorophyll A-B binding family protein,SHADE<SUN,105.8562205,0.048986994,0.650729896,0.075280073,0.939991876,0.989090636
Norway spruce,,MA_10432805g0020,GO:0000786,AT5G65360.1,,Histone superfamily protein,SHADE<SUN,162.6507004,1.017551482,0.264479725,3.847370457,0.000119392,0.003599324
Scots pine ,PITA_000037715,MA_10432805g0020,GO:0000786,AT5G65360.1,,Histone superfamily protein,SHADE<SUN,542.4998236,0.05684776,0.812375068,0.069977234,0.94421178,0.99001881
Scots pine ,PITA_000031872,MA_10432805g0020,GO:0000786,AT5G65360.1,,Histone superfamily protein,SHADE<SUN,140.6156749,0.099829076,0.589477999,0.169351657,0.865520046,0.975905429
Scots pine ,PITA_000086063,MA_10432805g0020,GO:0000786,AT5G65360.1,,Histone superfamily protein,SHADE<SUN,181.9972751,0.16912977,0.496895967,0.340372595,0.733575954,0.938083401
Scots pine ,PITA_000020183,MA_10432805g0020,GO:0000786,AT5G65360.1,,Histone superfamily protein,SHADE<SUN,507.5720815,0.196290469,0.494295981,0.397111198,0.691285463,0.92692796
Scots pine ,PITA_000048408,MA_10432805g0020,GO:0000786,AT5G65360.1,,Histone superfamily protein,SHADE<SUN,404.2227101,0.293405096,0.71674749,0.409356294,0.682278209,0.923534349
Scots pine ,PITA_000044524,MA_10432805g0020,GO:0000786,AT5G65360.1,,Histone superfamily protein,SHADE<SUN,943.8288807,0.302783666,0.334243841,0.905876577,0.365001183,0.739085517
Scots pine ,PITA_000012029,MA_10432805g0020,GO:0000786,AT5G65360.1,,Histone superfamily protein,SHADE<SUN,370.8221067,0.417985559,0.471858422,0.885828331,0.375710041,0.749208071
Scots pine ,PITA_000091001,MA_10432805g0020,GO:0000786,AT5G65360.1,,Histone superfamily protein,SHADE<SUN,33.01195837,0.555357194,0.852855751,0.651173652,0.514934397,0.85004595
Scots pine ,PITA_000035365,MA_10432805g0020,GO:0000786,AT5G65360.1,,Histone superfamily protein,SHADE<SUN,576.70493,0.562103933,0.587359895,0.957000873,0.338566814,0.730295799
Scots pine ,PITA_000033475,MA_10432805g0020,GO:0000786,AT5G65360.1,,Histone superfamily protein,SHADE<SUN,50.52978154,0.620288045,0.654179841,0.948191929,0.343031755,0.730295799
